city,province,site,population,region
Masi,PD,http://www.comune.masi.pd.it,1781.0,Veneto
Mossa,GO,http://www.comune.mossa.go.it/,1553.0,Friuli-Venezia Giulia
Specchia,LE,http://www.comune.specchia.lecce.it/,4748.0,Puglia
Zollino,LE,http://www.comune.zollino.le.it/,1961.0,Puglia
Sogliano Cavour,LE,http://www.comunesoglianocavour.it/,4056.0,Puglia
Petrizzi,CZ,http://comune.petrizzi.cz.it,1110.0,Calabria
Palermiti,CZ,http://www.comune.palermiti.cz.it,1181.0,Calabria
Canischio,TO,http://www.comune.canischio.to.it,274.0,Piemonte
Poggio Bustone,RI,http://www.comune.poggiobustone.ri.it/,2024.0,Lazio
Arcinazzo Romano,RM,http://www.arcinazzo.org/,1344.0,Lazio
Bianchi,CS,http://www.comune.bianchi.cs.it,1279.0,Calabria
Canna,CS,,680.0,Calabria
Micigliano,RI,http://halleyweb.com/c057037/hh/index.php?jvs=0&acc=1,133.0,Lazio
Labro,RI,http://www.labro.gov.it/,351.0,Lazio
Caneva,PN,http://www.comune.caneva.pn.it,6339.0,Friuli-Venezia Giulia
Altomonte,CS,http://www.comune.altomonte.cs.it,4382.0,Calabria
Amantea,CS,http://www.comune.amantea.cs.it,13975.0,Calabria
Pallagorio,KR,http://www.comune.pallagorio.kr.it,1164.0,Calabria
Crucoli,KR,http://www.comune.crucoli.kr.it,3034.0,Calabria
Loranzè,TO,http://www.comune.loranze.to.it/,1170.0,Piemonte
Grottole,MT,http://www.comune.grottole.mt.it,2116.0,Basilicata
Calciano,MT,http://www.comune.calciano.mt.it/,739.0,Basilicata
Tursi,MT,http://www.comune.tursi.mt.it,4981.0,Basilicata
Tremezzo,CO,,1238.0,provincia di Como
Brusasco,TO,http://www.comune.brusasco.to.gov.it/,1498.0,Piemonte
Monteleone Sabino,RI,http://www.comune.monteleonesabino.ri.it/,1230.0,Lazio
Pescorocchiano,RI,http://www.comunepescorocchiano.rieti.it/,2050.0,Lazio
Episcopia,PZ,http://www.comune.episcopia.pz.it/,1389.0,Basilicata
Cancellara,PZ,http://www.comune.cancellara.pz.it/,1276.0,Basilicata
Vigonza,PD,http://www.comune.vigonza.pd.it/,22958.0,Veneto
Ficarolo,RO,http://www.comune.ficarolo.ro.it,2407.0,Veneto
Cavaso del Tomba,TV,http://www.comune.cavaso.tv.it,2914.0,Veneto
Carbonera,TV,https://www.comune.carbonera.tv.it,11183.0,Veneto
Emarèse,AO,http://www.comune.emarese.ao.it/,227.0,Italia
Lillianes,AO,http://www.comune.lillianes.ao.it,456.0,Italia
Poggio Mirteto,RI,http://www.comune.poggiomirteto.ri.it,6391.0,Lazio
Roccantica,RI,http://www.comunediroccantica.it/,552.0,Lazio
Altilia,CS,http://www.comunealtilia.it/,698.0,Calabria
Settingiano,CZ,http://www.comune.settingiano.cz.it/,3159.0,Calabria
Gavorrano,GR,http://www.comune.gavorrano.gr.it/,8567.0,Toscana
Tiggiano,LE,http://www.comune.tiggiano.le.it,2839.0,Puglia
Surano,LE,http://www.comune.surano.le.it,1637.0,Puglia
Châtillon,AO,http://www.comune.chatillon.ao.it/,4654.0,Italia
Vagli Sotto,LU,http://www.comune.vagli-sotto.lu.it,930.0,Toscana
Villa Collemandina,LU,http://www.comune.villacollemandina.lu.it,1309.0,Toscana
Lombriasco,TO,http://www.comune.lombriasco.to.it/,10001.0,Piemonte
Villa del Conte,PD,http://www.comune.villasantina.ud.it,5522.0,Veneto
Ceneselli,RO,http://www.comune.ceneselli.ro.it/,1636.0,Veneto
Mariano del Friuli,GO,http://www.comune.marianodelfriuli.go.it/,1486.0,Friuli-Venezia Giulia
Doberdò del Lago,GO,http://www.comune.doberdo.go.it/,1385.0,Friuli-Venezia Giulia
Brienza,PZ,http://www.comune.brienza.pz.it/,4030.0,Basilicata
Tito,PZ,http://www.comune.tito.pz.it/,7355.0,Basilicata
Tramutola,PZ,http://www.comune.tramutola.pz.it,3033.0,Basilicata
San Costantino Albanese,PZ,http://www.comunesancostantinoalbanese.it,686.0,Basilicata
Campomaggiore,PZ,http://www.comune.campomaggiore.pz.it/,786.0,Basilicata
San Chirico Raparo,PZ,http://www.comune.sanchiricoraparo.pz.it,1032.0,Basilicata
Santo Stefano di Rogliano,CS,http://www.comune.santostefanodirogliano.cs.it,1720.0,Calabria
San Martino di Finita,CS,http://www.comune.sanmartinodifinita.cs.it/,1036.0,Calabria
Borgo Velino,RI,http://www.comune.borgovelino.ri.it,941.0,Lazio
Fara in Sabina,RI,http://www.farainsabina.gov.it/,13904.0,Lazio
Candia Canavese,TO,http://www.comune.candia.to.it,1214.0,Piemonte
Belforte all'Isauro,PU,http://www.comune.belforte.pu.it,744.0,Marche
Chianocco,TO,http://www.comune.chianocco.to.it,1612.0,Piemonte
Bricherasio,TO,http://www.comune.bricherasio.to.it/,4600.0,Piemonte
Brozolo,TO,http://www.comune.brozolo.to.it/,443.0,Piemonte
Ayas,AO,http://www.comune.ayas.ao.it,1377.0,Italia
Bracciano,ROMA,http://www.comune.bracciano.rm.it,19219.0,Lazio
Capranica Prenestina,RM,http://www.comunecapranica.it/,332.0,Lazio
Fiano Romano,ROMA,http://www.comune.fianoromano.rm.it,15556.0,Lazio
Agosta,ROMA,http://www.comunediagosta.it/,1742.0,Lazio
Frascineto,CS,http://www.comune.frascineto.cs.it/,2074.0,Calabria
Rogliano,CS,http://www.comune.rogliano.cs.it/,5758.0,Calabria
Fiumefreddo Bruzio,CS,http://www.comune.fiumefreddobruzio.cs.it,2944.0,Calabria
Accadia,FG,http://www.comune.accadia.fg.it,2338.0,Puglia
Candela,FG,http://egov.hseweb.it/candela/hh/index.php,2784.0,Puglia
Castelguglielmo,RO,http://www.comune.castelguglielmo.ro.it,1565.0,Veneto
Fratta Polesine,RO,http://www.comune.frattapolesine.ro.it,2615.0,Veneto
Papasidero,CS,http://papasideros.altervista.org/,696.0,Calabria
Roggiano Gravina,CS,http://www.comune.roggianogravina.cs.it,7205.0,Calabria
Locana,TO,http://www.comune.locana.to.it/,1450.0,Piemonte
Collegno,TO,https://www.comune.collegno.gov.it/,49597.0,Piemonte
Faenza,RA,http://www.comune.faenza.ra.it,58797.0,Emilia-Romagna
Predoi,BZ,https://www.prettau.it/system/web/default.aspx?menuonr=219106195&sprache=3,547.0,Trentino-Alto Adige
Castagneto Po,TO,http://www.comunecastagnetopo.com,1782.0,Piemonte
Castiglione Torinese,TO,http://www.comunecastiglionetorinese.it/,6501.0,Piemonte
Lattarico,CS,http://www.comune.lattarico.cs.it,3959.0,Calabria
Lungro,CS,http://lungro.gov.it/,2504.0,Calabria
Bastida Pancarana,PV,http://www.comune.bastidapancarana.pv.it,1005.0,Lombardia
Vito d'Asio,PN,http://www.comune.vitodasio.pn.it,734.0,Friuli-Venezia Giulia
Lusernetta,TO,http://www.lusernetta.gov.it/,489.0,Piemonte
Ollomont,AO,http://www.comune.ollomont.ao.it,157.0,Italia
Rhêmes-Notre-Dame,AO,http://www.comune.rhemes-notre-dame.ao.it/,82.0,Italia
Saint-Denis,AO,http://www.comune.saintdenis.ao.it/,369.0,Italia
Roisan,AO,http://www.comune.roisan.ao.it,1012.0,Italia
Marano Principato,CS,http://www.comune.maranoprincipato.cs.it/,3177.0,Calabria
Mongrassano,CS,http://mongrassano.asmenet.it,1562.0,Calabria
Ripacandida,PZ,http://www.comune.ripacandida.pz.it/,1696.0,Basilicata
Filiano,PZ,http://www.comune.filiano.pz.it,2890.0,Basilicata
Moricone,RM,http://www.comune.moricone.rm.it,2559.0,Lazio
Piedimonte Etneo,CT,http://www.comune.piedimonte-etneo.ct.it/,3966.0,Sicilia
Bagnara Calabra,RC,http://www.comunebagnara.it/,10120.0,Calabria
Laino Castello,CS,http://www.comune.lainocastello.cs.it/,819.0,Calabria
Cetraro,CS,http://www.comune.cetraro.cs.it/,10048.0,Calabria
Cerzeto,CS,http://www.comune.cerzeto.cs.it,1359.0,Calabria
Francavilla Marittima,CS,http://www.comune.francavillamarittima.cs.it/,2870.0,Calabria
Centrache,CZ,http://www.comune.centrache.cz.it,397.0,Calabria
Meltina,BZ,http://www.gemeinde.moelten.bz.it,1679.0,Trentino-Alto Adige
Oglianico,TO,http://www.comune.oglianico.to.it,1506.0,Piemonte
Montegiordano,CS,http://www.comune.montegiordano.cs.it/,1793.0,Calabria
Marzi,CS,http://www.comune.marzi.cs.it,989.0,Calabria
Villapiana,CS,http://www.comune.villapiana.cs.it/,5367.0,Calabria
Serra d'Aiello,CS,http://www.comune.serradaiello.cs.it/,472.0,Calabria
Valpelline,AO,http://www.comune.valpelline.ao.it,625.0,Italia
Verrayes,AO,http://www.comune.verrayes.ao.it,1303.0,Italia
Cerenzia,KR,http://cerenzia.asmenet.it/,1123.0,Calabria
Cirò Marina,KR,http://www.comune.ciromarina.kr.it/,14794.0,Calabria
Vicovaro,RM,http://www.comunedivicovaro.it,3968.0,Lazio
Torrevecchia Pia,PV,http://www.comune.torrevecchiapia.pv.it,3533.0,Lombardia
Fagnano Olona,VA,http://www.comune.fagnanoolona.va.it/,12510.0,Lombardia
Claino con Osteno,CO,http://www.comune.clainoconosteno.co.it,560.0,Lombardia
Bellusco,MB,http://www.comune.bellusco.mb.it,7403.0,Lombardia
Campodolcino,SO,http://www.comune.campodolcino.so.it/,931.0,Lombardia
Misinto,MB,http://www.comune.misinto.mb.it,5576.0,Lombardia
Brinzio,VA,http://www.comune.brinzio.va.it,809.0,Lombardia
Lanzada,SO,http://www.comune.lanzada.gov.it,1335.0,Lombardia
Magherno,PV,http://www.comune.magherno.pv.it/,1720.0,Lombardia
Montesegale,PV,http://www.comune.montesegale.pv.it/,285.0,Lombardia
Carimate,CO,http://www.comunecarimate.it/,4530.0,Lombardia
Montalto Pavese,PV,http://www.comune.montaltoligure.im.it,896.0,Lombardia
Cremenaga,VA,http://www.comune.cremenaga.va.it/,815.0,Lombardia
Castelsardo,SS,http://www.comune.castelsardo.ss.it,5990.0,Sardegna
Altavilla Milicia,PA,http://www.comune.altavillamilicia.pa.it,8340.0,Sicilia
Paludi,CS,http://www.comune.paludi.cs.it,1038.0,Calabria
Orsomarso,CS,http://www.comune.orsomarso.cs.it,1243.0,Calabria
Mercenasco,TO,http://www.comune.mercenasco.to.it/,1231.0,Piemonte
Condove,TO,http://www.comune.condove.to.it,4614.0,Piemonte
Luserna San Giovanni,TO,http://www.comune.luserna.to.it/,7297.0,Piemonte
Mussomeli,CL,http://www.comune.mussomeli.cl.it,10556.0,Sicilia
Caltagirone,CT,http://www.comune.caltagirone.ct.it/,38295.0,Sicilia
Bivona,AG,http://www.comune.bivona.ag.it,3596.0,Sicilia
Voghera,PV,http://www.comune.voghera.pv.it,39354.0,Lombardia
Castronno,VA,http://www.comune.castronno.va.it,5253.0,Lombardia
Caselette,TO,http://www.comune.caselette.to.it,3030.0,Piemonte
Campofranco,CL,http://www.comune.campofranco.cl.it/,2992.0,Sicilia
Battuda,PV,http://www.comune.battuda.pv.it/,679.0,Lombardia
Sulbiate,MB,http://www.comune.sulbiate.mb.it,4283.0,Lombardia
Cafasse,TO,http://www.comune.cafasse.to.it,3383.0,Piemonte
Alessandria del Carretto,CS,http://www.comune.alessandriadelcarretto.cs.it/,432.0,Calabria
Platania,CZ,http://www.comune.platania.cz.it/,2115.0,Calabria
Castelnuovo,TN,http://www.comune.castelnuovo.tn.it,1035.0,Trentino-Alto Adige
Castello Tesino,TN,http://www.comune.castello-tesino.tn.it,1201.0,Trentino-Alto Adige
Ortisei,BZ,http://www.comune.ortisei.bz.it,4883.0,Trentino-Alto Adige
Renon,BZ,http://www.comune.renon.bz.it,7892.0,Trentino-Alto Adige
San Genesio Atesino,BZ,http://www.comune.sangenesioatesino.bz.it,3045.0,Trentino-Alto Adige
Cavedine,TN,http://www.comune.cavedine.tn.it,2952.0,Trentino-Alto Adige
Cleto,CS,http://www.comune.cleto.cs.it/,1279.0,Calabria
Dipignano,CS,http://dipignano.asmenet.it,4351.0,Calabria
